id,height,city,salary
1,168.72700594236812,Dallas,122961
2,197.5357153204958,Chicago,145463
3,186.59969709057026,St. Louis,58602
4,179.93292420985182,New York,118789
5,157.80093202212183,St. Louis,81399
6,157.79972601681013,New York,53472
7,152.90418060840997,Los Angeles,79230
8,193.30880728874675,New York,103616
9,180.05575058716045,Dallas,37099
10,185.4036288898023,Chicago,148614
11,151.02922471479013,Los Angeles,55431
12,198.4954926080997,New York,86492
13,191.62213204002109,St. Louis,126722
14,160.6169555339138,Los Angeles,77684
15,159.09124836035502,Los Angeles,60111
16,159.1702254926717,New York,135387
17,165.21211214797688,Los Angeles,93936
18,176.23782158161188,St. Louis,52614
19,171.5972509321058,Los Angeles,122260
20,164.56145700990209,St. Louis,71991
21,180.59264473611898,New York,100476
22,156.9746930326021,Chicago,147959
23,164.6072324267609,Los Angeles,90920
24,168.31809216468457,Chicago,124294
25,172.80349921085178,St. Louis,93530
26,189.25879806965068,Los Angeles,66224
27,159.983689107918,Dallas,37788
28,175.7117219206806,Chicago,58082
29,179.6207284431021,Los Angeles,119570
30,152.3225206359999,Chicago,131015
31,180.37724259507192,Los Angeles,106816
32,158.52620618436458,New York,113588
33,153.25257964926396,Chicago,46531
34,197.44427686266667,Dallas,118340
35,198.28160165372796,Dallas,124439
36,190.41986740582306,St. Louis,74857
37,165.23068845866854,Los Angeles,40142
38,154.8836057003192,Chicago,145053
39,184.21165132560785,St. Louis,78355
40,172.00762468698008,Chicago,39866
41,156.10191174223894,Los Angeles,100067
42,174.7588455055635,Dallas,140990
43,151.71942605576092,New York,133634
44,195.46602010393912,Dallas,133814
45,162.93899908000085,St. Louis,94027
46,183.1261142176991,New York,87906
47,165.58555380447055,St. Louis,58138
48,176.00340105889055,Los Angeles,122601
49,177.335513967164,New York,59956
50,159.24272277627637,St. Louis,137268
51,198.47923138822793,Los Angeles,134797
52,188.75664116805572,Dallas,106295
53,196.97494707820945,Los Angeles,35439
54,194.74136752138244,Chicago,77241
55,179.89499894055425,Los Angeles,72533
56,196.09371175115584,Los Angeles,58270
57,154.42462510259597,Chicago,108815
58,159.79914312095727,St. Louis,69279
59,152.2613644455269,St. Louis,139787
60,166.26651653816322,Los Angeles,53888
61,169.4338644844741,Chicago,47630
62,163.5674515886948,Chicago,91063
63,191.43687545759647,Dallas,148527
64,167.83766633467945,St. Louis,65144
65,164.04672548436903,New York,82161
66,177.1348041579124,St. Louis,126718
67,157.04621124873813,St. Louis,121074
68,190.109849037702,Dallas,107360
69,153.72753218398853,New York,80979
70,199.34434683002587,Dallas,127661
71,188.61223846483287,New York,36979
72,159.93578407670861,Los Angeles,56189
73,150.27610585618012,New York,72600
74,190.7730714227417,Dallas,89560
75,185.34286719238085,St. Louis,108040
76,186.45035840204937,New York,91558
77,188.56351733429727,New York,116205
78,153.70223258670453,Chicago,36910
79,167.92328642721364,St. Louis,87713
80,155.79345297625648,Los Angeles,76857
81,193.1551712937797,Dallas,64964
82,181.1649063413779,Los Angeles,115667
83,166.54490124263245,St. Louis,55227
84,153.17791751430119,New York,35978
85,165.5491160857831,New York,117527
86,166.25916610133734,St. Louis,47153
87,186.4803089169032,New York,89765
88,181.87787356776064,New York,129084
89,194.36063712881634,New York,138212
90,173.61074625809746,Dallas,69071
91,155.9797122969151,Dallas,142990
92,185.66223936114974,Chicago,99519
93,188.03925243084487,Los Angeles,39503
94,178.0638598784748,St. Louis,90703
95,188.54835899772806,St. Louis,94379
96,174.68977981821953,St. Louis,125457
97,176.13664146909971,Chicago,87866
98,171.37705091792748,Dallas,46905
99,151.27095633720475,Chicago,75838
100,155.39457134966523,St. Louis,88279
101,151.57145928433673,Los Angeles,119489
102,181.820520563189,New York,56806
103,165.71779905381632,Dallas,75000
104,175.42853455823513,Dallas,52168
105,195.37832369630465,Chicago,100119
106,162.46461145744374,Dallas,68714
107,170.51914615178148,St. Louis,84093
108,187.77755692715243,St. Louis,85419
109,161.43990827458111,Chicago,79145
110,153.84899549143964,St. Louis,135432
111,164.4875726456884,Los Angeles,107425
112,158.06106436270022,Chicago,122949
113,196.48488261712865,Los Angeles,107811
114,190.40601897822086,New York,32461
115,181.67018782552117,Los Angeles,44291
116,193.5730295093859,New York,76804
117,190.1836038449557,New York,106971
118,159.3285029443018,Los Angeles,123471
119,194.6279499244989,Chicago,94946
120,176.96711209578254,St. Louis,128989
121,190.37200775820313,St. Louis,114080
122,194.80456499617466,New York,91332
123,165.9001737485932,New York,107794
124,155.50259622638384,Chicago,60841
125,161.3967581270971,Dallas,78758
126,171.3553894313128,Los Angeles,144726
127,190.90073829612464,New York,106272
128,193.03652916281717,St. Louis,67643
129,150.34760652655953,Chicago,80408
130,175.5373651288783,Los Angeles,73950
131,170.87055015743894,Chicago,86849
132,161.1053905235365,Los Angeles,130500
133,155.99326836668413,Los Angeles,58044
134,166.8807585701814,New York,135469
135,197.14548519562595,Chicago,45997
136,166.16014660103775,Chicago,109751
137,175.9395310871683,St. Louis,128605
138,185.15094794475888,St. Louis,53911
139,168.1814801189647,New York,85533
140,198.58910413604804,New York,112566
141,198.12236474710556,Dallas,124870
142,162.5891147912682,St. Louis,44571
143,174.86242529461927,Los Angeles,138255
144,165.0439154908385,Chicago,124463
145,164.24202471887338,New York,87941
146,151.84434736772664,Chicago,88005
147,180.47821669899486,Chicago,116250
148,175.13395116144306,Dallas,88712
149,152.57393756249948,St. Louis,73541
150,163.93232321183058,New York,53387
151,195.4132942983327,Chicago,123980
152,161.9780945333486,New York,78908
153,157.24474360456117,Los Angeles,115457
154,174.47263801387814,Dallas,43057
155,199.28252270553003,Los Angeles,94028
156,162.102763575575,New York,140804
157,183.6067773702939,New York,149246
158,188.08098076643589,St. Louis,85731
159,161.88187719962,Chicago,54858
160,186.41081743059297,Chicago,78689
161,168.38915663596265,Los Angeles,74638
162,181.61529152967898,Dallas,121598
163,181.67648553804474,Chicago,132386
164,176.78873420373793,St. Louis,76486
165,154.5144885027204,Los Angeles,50567
166,191.7651247794619,Los Angeles,59739
167,166.0390032485868,St. Louis,87804
168,159.32592551999272,Dallas,138821
169,152.03875707773818,St. Louis,33754
170,179.54464715941208,Dallas,57044
171,183.8782180921141,St. Louis,97260
172,150.8293914463928,St. Louis,96912
173,175.60465291496405,New York,38706
174,161.3247887598969,Los Angeles,38894
175,182.25863952047249,St. Louis,48037
176,158.71832145024956,St. Louis,113986
177,184.5468869051233,Chicago,111942
178,169.33676731502686,Los Angeles,81612
179,196.83649943683673,Chicago,59725
180,156.87604720729965,Los Angeles,35926
181,167.05331755251294,Chicago,134555
182,155.67367606202944,St. Louis,39496
183,196.23468091392814,St. Louis,86447
184,193.86696766904905,New York,131604
185,162.8970813857578,Chicago,59806
186,182.99920230170895,Dallas,118199
187,190.8611100100608,New York,71321
188,177.76004057997312,Chicago,132031
189,176.48252891780032,Chicago,95095
190,162.09261454502257,New York,52656
191,154.65513839029495,St. Louis,85147
192,194.86078789766634,Chicago,121396
193,195.02090285816652,St. Louis,79666
194,181.6550728636634,New York,112368
195,166.95148955243502,St. Louis,68787
196,167.46047873063304,Los Angeles,143767
197,186.29778394351197,Dallas,92946
198,194.85551299762886,Chicago,51727
199,194.35432121325587,Dallas,138351
200,188.9937772928812,St. Louis,125081
201,182.10158230771438,Chicago,140058
202,154.20699824975244,St. Louis,98056
203,158.0814357047307,Los Angeles,33081
204,194.92770942635397,New York,64196
205,180.3214529829795,Chicago,66735
206,150.4598525808315,Los Angeles,134749
207,155.0735771433016,Los Angeles,110102
208,183.1750884554028,Chicago,109578
209,150.25307919231093,St. Louis,55498
210,158.04040257087493,Los Angeles,106865
211,177.4366894683293,Dallas,61656
212,184.59475988463467,Los Angeles,97695
213,182.59806297513003,St. Louis,67900
214,161.21346547302798,St. Louis,147235
215,185.6089610673768,Dallas,114899
216,161.86245437484,Los Angeles,77701
217,166.2699849079634,St. Louis,138777
218,187.32457025590122,Chicago,49033
219,182.48164495236074,New York,40805
220,192.4611705247089,New York,65851
221,182.88064461501716,New York,56832
222,178.41543016677358,Los Angeles,93437
223,154.68373839140463,Dallas,145725
224,168.38579015297168,St. Louis,43944
225,163.26011838408627,Chicago,49873
226,162.19948216895418,Chicago,70372
227,198.65052773762227,Los Angeles,119464
228,169.654886233338,New York,45379
229,194.60232775885567,Los Angeles,147322
230,181.55693129986315,Dallas,66751
231,189.74056517708243,Dallas,130082
232,175.13185465525962,St. Louis,119822
233,178.84519423131795,St. Louis,35110
234,174.6258846909432,Dallas,84341
235,159.76214938990222,Dallas,42087
236,186.12260576307526,Dallas,53762
